"aid","rater","sad_structure","ccc","r","cb","ccc_lower","ccc_upper","s.shift","l.shift"
"Unaided after-training","7","Amended-linear",0.972515762881292,0.974208378693668,0.998262573131792,0.951372468391024,0.98453877339084,1.04143060720388,0.0428099594865681
"SAD-aided","3","Amended-linear",0.972226519307508,0.980600317853444,0.991460538617542,0.951236255291392,0.984254472705828,1.00500713991317,0.131152877170225
"SAD-aided","33","Linear",0.971509891551114,0.975353003368307,0.996059773431853,0.950840877773062,0.983561819241267,1.08324417478989,0.0389172610642413
"SAD-aided","14","Linear",0.971376337962869,0.98058149088463,0.990612556929402,0.949874629179858,0.983731656795059,1.00759854980204,-0.137460910704594
"Unaided no-training","36","Linear",0.97130538732502,0.975424665540524,0.995776938639109,0.95040855394079,0.983471339230277,1.08098232176456,0.04914378964358
"SAD-aided","21","Amended-linear",0.971198956317297,0.977662120154438,0.993389164104957,0.949375450593916,0.983693363403684,1.03767214392047,0.109279423060909
"SAD-aided","40","Linear",0.970544189334099,0.972373434527315,0.998118783249046,0.94837340804455,0.983275567076287,1.0616239505071,0.0138725330534402
"SAD-aided","13","Linear",0.970049303787266,0.973447656443378,0.996508951833601,0.948379304405935,0.982703150527343,1.08666668526947,-0.00972050773181249
"Unaided after-training","26","Linear",0.969084158644008,0.970121746836467,0.998930455691935,0.945387968692579,0.982590571483044,1.04586564047808,-0.0114007110540813
"Unaided after-training","3","Amended-linear",0.968739204780106,0.972094329512591,0.9965485605351,0.945936061249399,0.982013315568425,1.08321630440351,0.0231047852576208
"Unaided after-training","1","Amended-linear",0.968295430252323,0.973721601623124,0.994427389346446,0.943852072145035,0.98219512041868,1.00566586530639,-0.105715449015578
"SAD-aided","23","Linear",0.96800317255872,0.977391517210202,0.990394489325753,0.945008565798324,0.981474192709878,1.0802960115691,-0.115884070979534
"Unaided after-training","30","Linear",0.966900622558396,0.984356234861496,0.98226697644115,0.947236907676533,0.979313927260342,1.15675735565,0.121915675698145
"Unaided after-training","27","Amended-linear",0.966811521443988,0.972699477874004,0.993946787714037,0.943981048640851,0.980431118928625,1.11485775532552,0.0186274336119392
"SAD-aided","27","Amended-linear",0.966743235511333,0.977972474239302,0.988517837644966,0.944243034775895,0.980255897403387,1.11558968048314,0.10608706344348
"SAD-aided","7","Amended-linear",0.966353757790701,0.968516017582231,0.997767450664442,0.941173497026591,0.980862051465775,1.06751920105104,0.0143034219074618
"Unaided after-training","13","Linear",0.965726704293721,0.974746758297147,0.990746259039442,0.940743429622137,0.980283741871787,1.07300343626791,0.117104415456195
"Unaided no-training","24","Amended-linear",0.965680722250874,0.966465231411113,0.999188269650328,0.939007675466655,0.980804637899904,1.02127768870649,-0.0343725486991208
"SAD-aided","1","Amended-linear",0.965648256078207,0.969287743881971,0.996245193621052,0.940275763390164,0.98035097584247,1.07670169187355,-0.0455397447283073
"SAD-aided","38","Amended-linear",0.965395121734245,0.971332887397407,0.993886992049583,0.938798882849171,0.980549356015145,0.995000699509506,0.11079753939012
"Unaided no-training","43","Amended-linear",0.965200200930372,0.966093114934254,0.999075747471876,0.938121554534589,0.980547884620206,1.01597821495717,0.0399865840772568
"SAD-aided","41","Amended-linear",0.964427432126738,0.967507992496687,0.996815984577038,0.936837776097272,0.980089638815942,0.993744323209619,0.0796805602372086
"Unaided after-training","42","Amended-linear",0.963616167665004,0.978554268413284,0.984734519862141,0.94087405804934,0.977711242976121,1.15207590799563,0.104546573465432
"Unaided after-training","9","Linear",0.963132649608199,0.972193238789573,0.99068025900627,0.935809175244003,0.978952068355191,1.05712152136106,-0.125412408076454
"Unaided after-training","25","Amended-linear",0.963047783521389,0.966591848710567,0.996333441882521,0.935117820214081,0.97908462813061,1.056103520922,-0.0661793626466378
"Unaided no-training","42","Amended-linear",0.962926719833652,0.977189503121786,0.98540428111173,0.940441673891854,0.977023504144555,1.1660648041045,0.0772900025028859
"Unaided after-training","33","Linear",0.962446421803705,0.975434302820415,0.986685027398405,0.935990202139413,0.978091626584937,1.09014578618811,0.139767725699711
"Unaided after-training","24","Amended-linear",0.961123353457499,0.974692361646848,0.986078675976877,0.932534670622992,0.977737036967558,1.01892588478793,-0.166985600462666
"SAD-aided","16","Amended-linear",0.96107524543356,0.96920839268034,0.991608463867829,0.931588573298162,0.977997352733533,1.02457862609803,0.12781033981429
